"Distance [mm]","Voltage [V]"
2.14644,-0.750589461019357
2.15073288,-0.750103154531506
2.15502576,-0.749616848043677
2.15931864,-0.749130541555873
2.16361152,-0.748644235068102
2.1679044,-0.748157928580341
2.17219728,-0.747671622092582
2.17649016,-0.747185315604826
2.18078304,-0.746699009117073
2.18507592,-0.746212702629322
2.1893688,-0.745726396141578
2.19366168,-0.745240089653829
2.19795456,-0.744753783166071
2.20224744,-0.744267476678304
2.20654032,-0.743781170190528
2.2108332,-0.743294863702744
2.21512608,-0.74280855721495
2.21941896,-0.742322250727142
2.22371184,-0.74183594423932
2.22800472,-0.741349637751487
2.2322976,-0.740863331263642
2.23659048,-0.740377024775784
2.24088336,-0.739890718287914
2.24517624,-0.739404411800034
2.24946912,-0.738918105312143
2.253762,-0.738431798824243
2.25805488,-0.737945492336332
2.26234776,-0.73745918584841
2.26664064,-0.736972879360479
2.27093352,-0.736486572872538
2.2752264,-0.73600026638459
2.27951928,-0.735513959896632
2.28381216,-0.735027653408665
2.28810504,-0.734541346920688
2.29239792,-0.734055040432717
2.2966908,-0.733568733944699
2.30098368,-0.733082427456594
2.30527656,-0.732596120968402
2.30956944,-0.732109814480124
2.31386232,-0.731623507991743
2.3181552,-0.731137201503256
2.32244808,-0.73065089501466
2.32674096,-0.730164588525956
2.33103384,-0.729678282037144
2.33532672,-0.729191975548223
2.3396196,-0.728705669059194
2.34391248,-0.728219362570057
2.34820536,-0.727733056080811
2.35249824,-0.727246749591458
2.35679112,-0.726760443101995
2.361084,-0.726274136612422
2.36537688,-0.725787830122742
2.36966976,-0.725301523632943
2.37396264,-0.724815217143004
2.37825552,-0.724328910652936
2.3825484,-0.723842604162739
2.38684128,-0.723356297672412
2.39113416,-0.722869991181956
2.39542704,-0.722383684691371
2.39971992,-0.721897378200657
2.4040128,-0.721411071709814
2.40830568,-0.720924765218844
2.41259856,-0.720438458727748
2.41689144,-0.719952152236525
2.42118432,-0.719465845745176
2.4254772,-0.7189795392537
2.42977008,-0.718493232762098
2.43406296,-0.71800692627037
2.43835584,-0.717520619778522
2.44264872,-0.71703431328657
2.4469416,-0.716548006794511
2.45123448,-0.716061700302349
2.45552736,-0.715575393810083
2.45982024,-0.715089087317713
2.46411312,-0.71460278082524
2.468406,-0.714116474332664
2.47269888,-0.713630167840006
2.47699176,-0.713143861347286
2.48128464,-0.712657554854505
2.48557752,-0.712171248361663
2.4898704,-0.711684941868759
2.49416328,-0.711198635375794
2.49845616,-0.710712328882768
2.50274904,-0.710226022389681
2.50704192,-0.709739715896532
2.5113348,-0.709253409403388
2.51562768,-0.70876710291029
2.51992056,-0.708280796417229
2.52421344,-0.7077944899242
2.52850632,-0.707308183431203
2.5327992,-0.706821876938239
2.53709208,-0.706335570445307
2.54138496,-0.705849263952408
2.54567784,-0.705362957459603
2.54997072,-0.7048766509669
2.5542636,-0.704390344474295
2.55855648,-0.703904037981791
2.56284936,-0.703417731489386
2.56714224,-0.70293142499708
2.57143512,-0.702445118504873
2.575728,-0.701958812012766
2.58002088,-0.701472505520757
2.58431376,-0.700986199028848
2.58860664,-0.700499892537038
2.59289952,-0.700013586045326
2.5971924,-0.699527279553715
2.60148528,-0.699040973062201
2.60577816,-0.698554666570787
2.61007104,-0.698068360079472
2.61436392,-0.697582053588256
2.6186568,-0.697095747097139
2.62294968,-0.696609440606121
2.62724256,-0.696123134115174
2.63153544,-0.695636827624282
2.63582832,-0.695150521133452
2.6401212,-0.694664214642682
2.64441408,-0.694177908151954
2.64870696,-0.69369160166124
2.65299984,-0.693205295170551
2.65729272,-0.69271898867989
2.6615856,-0.692232682189256
2.66587848,-0.6917463756981
2.67017136,-0.691260069206692
2.67446424,-0.690773762715073
2.67875712,-0.690287456223242
2.68305,-0.689801149731178
2.68734288,-0.689314843238926
2.69163576,-0.688828536746495
2.69592864,-0.688342230253884
2.70022152,-0.687855923761079
2.7045144,-0.687369617268126
2.70880728,-0.686883310775093
2.71310016,-0.686397004281983
2.71739304,-0.685910697788794
2.72168592,-0.68542439129553
2.7259788,-0.684938084802208
2.73027168,-0.684451778308828
2.73456456,-0.683965471815389
2.73885744,-0.683479165321896
2.74315032,-0.682992858828353
2.7474432,-0.682506552334752
2.75173608,-0.682020245841091
2.75602896,-0.681533939347368
2.76032184,-0.681047632853584
2.76461472,-0.680561326359736
2.7689076,-0.680075019865803
2.77320048,-0.679588713371786
2.77749336,-0.679102406877687
2.78178624,-0.678616100383499
2.78607912,-0.678129793889225
2.790372,-0.677643487394863
2.79466488,-0.677157180900413
2.79895776,-0.676670874405873
2.80325064,-0.676184567911244
2.80754352,-0.675698261416526
2.8118364,-0.67521195492172
2.81612928,-0.674725648426824
2.82042216,-0.674239341931831
2.82471504,-0.673753035436743
2.82900792,-0.673266728941562
2.8333008,-0.672780422446286
2.83759368,-0.672294115950917
2.84188656,-0.671807809455454
2.84617944,-0.671321502959895
2.85047232,-0.670835196464238
2.8547652,-0.670348889968483
2.85905808,-0.66986258347263
2.86335096,-0.669376276976677
2.86764384,-0.668889970480626
2.87193672,-0.668403663984479
2.8762296,-0.667917357488235
2.88052248,-0.667431050991894
2.88481536,-0.666944744495457
2.88910824,-0.666458437998923
2.89340112,-0.665972131502298
2.897694,-0.6654858250056
2.90198688,-0.664999518508831
2.90627976,-0.66451321201199
2.91057264,-0.664026905515078
2.91486552,-0.663540599018096
2.9191584,-0.663054292521048
2.92345128,-0.662567986023932
2.92774416,-0.662081679526749
2.93203704,-0.661595373029499
2.93632992,-0.661109066532179
2.9406228,-0.660622760034786
2.94491568,-0.660136453537299
2.94920856,-0.659650147039711
2.95350144,-0.659163840542003
2.95779432,-0.658677534044131
2.9620872,-0.658191227546097
2.96638008,-0.657704921047897
2.97067296,-0.657218614549522
2.97496584,-0.656732308050937
2.97925872,-0.65624600155214
2.9835516,-0.655759695053128
2.98784448,-0.655273388553899
2.99213736,-0.654787082054454
2.99643024,-0.65430077555478
3.00072312,-0.653814469054759
3.005016,-0.653328162554421
3.00930888,-0.652841856053764
3.01360176,-0.65235554955279
3.01789464,-0.651869243051497
3.02218752,-0.651382936549865
3.0264804,-0.650896630047889
3.03077328,-0.650410323545574
3.03506616,-0.64992401704292
3.03935904,-0.649437710539929
3.04365192,-0.648951404036601
3.0479448,-0.648465097532934
3.05223768,-0.647978791028925
3.05653056,-0.647492484524569
3.06082344,-0.647006178019867
3.06511632,-0.646519871514819
3.0694092,-0.646033565009424
3.07370208,-0.645547258503694
3.07799496,-0.64506095199765
3.08228784,-0.64457464549129
3.08658072,-0.644088338984614
3.0908736,-0.643602032477622
3.09516648,-0.64311572597036
3.09945936,-0.642629419462865
3.10375224,-0.642143112955137
3.10804512,-0.641656806447176
3.112338,-0.641170499938982
3.11663088,-0.640684193430556
3.12092376,-0.640197886921939
3.12521664,-0.639711580413132
3.12950952,-0.639225273904132
3.1338024,-0.638738967394934
3.13809528,-0.638252660885531
3.14238816,-0.637766354375935
3.14668104,-0.63728004786616
3.15097392,-0.636793741356205
3.1552668,-0.636307434846071
3.15955968,-0.63582112833576
3.16385256,-0.635334821825271
3.16814544,-0.634848515314605
3.17243832,-0.634362208803762
3.1767312,-0.633875902292766
3.18102408,-0.633389595781643
3.18531696,-0.632903289270379
3.18960984,-0.632416982758963
3.19390272,-0.631930676247397
3.1981956,-0.631444369735682
3.20248848,-0.630958063223841
3.20678136,-0.630471756711879
3.21107424,-0.629985450199796
3.21536712,-0.629499143687593
3.21966,-0.629012837175267
3.22395288,-0.628526530662821
3.22824576,-0.628040224150254
3.23253864,-0.627553917637566
3.23683152,-0.627067611124765
3.2411244,-0.626581304611846
3.24541728,-0.626094998098809
3.24971016,-0.625608691585653
3.25400304,-0.625122385072378
3.25829592,-0.624636078558979
3.2625888,-0.624149772045448
3.26688168,-0.623663465531893
3.27117456,-0.623177159018328
3.27546744,-0.622690852504754
3.27976032,-0.62220454599117
3.2840532,-0.621718239477578
3.28834608,-0.621231932963977
3.29263896,-0.620745626450367
3.29693184,-0.620259319936748
3.30122472,-0.619773013423119
3.3055176,-0.619286706909481
3.30981048,-0.618800400395833
3.31410336,-0.618314093882172
3.31839624,-0.617827787368496
3.32268912,-0.617341480854803
3.326982,-0.616855174341095
3.33127488,-0.616368867827372
3.33556776,-0.615882561313633
3.33986064,-0.615396254799888
3.34415352,-0.614909948286143
3.3484464,-0.614423641772398
3.35273928,-0.613937335258653
3.35703216,-0.613451028744908
3.36132504,-0.612964722231171
3.36561792,-0.612478415717451
3.3699108,-0.611992109203748
3.37420368,-0.611505802690061
3.37849656,-0.611019496176389
3.38278944,-0.610533189662728
3.38708232,-0.610046883149077
3.3913752,-0.609560576635433
3.39566808,-0.609074270121799
3.39996096,-0.608587963608176
3.40425384,-0.608101657094564
3.40854672,-0.607615350580963
3.4128396,-0.607129044067374
3.41713248,-0.606642737553796
3.42142536,-0.606156431040229
3.42571824,-0.605670124526674
3.43001112,-0.605183818013129
3.434304,-0.604697511499598
3.43859688,-0.604211204986081
3.44288976,-0.603724898472577
3.44718264,-0.603238591959088
3.45147552,-0.602752285445665
3.4557684,-0.602265978932328
3.46006128,-0.601779672419066
3.46435416,-0.601293365905879
3.46864704,-0.600807059392765
3.47293992,-0.600320752879725
3.4772328,-0.599834446366754
3.48152568,-0.599348139853862
3.48581856,-0.59886183334105
3.49011144,-0.598375526828318
3.49440432,-0.597889220315666
3.4986972,-0.597402913803094
3.50299008,-0.596916607290614
3.50728296,-0.596430300778253
3.51157584,-0.595943994266001
3.51586872,-0.595457687753854
3.5201616,-0.594971381241814
3.52445448,-0.594485074729879
3.52874736,-0.59399876821805
3.53304024,-0.593512461706325
3.53733312,-0.593026155194703
3.541626,-0.592539848683185
3.54591888,-0.59205354217177
3.55021176,-0.591567235660459
3.55450464,-0.591080929149252
3.55879752,-0.590594622638153
3.5630904,-0.590108316127146
3.56738328,-0.589622009616213
3.57167616,-0.589135703105353
3.57596904,-0.588649396594567
3.58026192,-0.588163090083855
3.5845548,-0.587676783573216
3.58884768,-0.587190477062637
3.59314056,-0.586704170552114
3.59743344,-0.586217864041591
3.60172632,-0.585731557531069
3.6060192,-0.585245251020555
3.61031208,-0.584758944510055
3.61460496,-0.58427263799957
3.61889784,-0.583786331489088
3.62319072,-0.583300024978608
3.6274836,-0.582813718468131
3.63177648,-0.582327411957657
3.63606936,-0.581841105447186
3.64036224,-0.58135479893672
3.64465512,-0.580868492426255
3.648948,-0.58038218591579
3.65324088,-0.579895879405325
3.65753376,-0.57940957289486
3.66182664,-0.578923266384393
3.66611952,-0.578436959873916
3.6704124,-0.577950653363434
3.67470528,-0.577464346852953
3.67899816,-0.576978040342535
3.68329104,-0.576491733832193
3.68758392,-0.576005427321926
3.6918768,-0.575519120811752
3.69616968,-0.575032814301662
3.70046256,-0.574546507791658
3.70475544,-0.574060201281739
3.70904832,-0.573573894771905
3.7133412,-0.573087588262156
3.71763408,-0.5726012817525
3.72192696,-0.57211497524285
3.72621984,-0.57162866873317
3.73051272,-0.571142362223459
3.7348056,-0.570656055713716
3.73909848,-0.570169749203946
3.74339136,-0.569683442694136
3.74768424,-0.569197136184287
3.75197712,-0.568710829674398
3.75627,-0.56822452316447
3.76056288,-0.567738216654504
3.76485576,-0.567251910144498
3.76914864,-0.566765603634449
3.77344152,-0.566279297124357
3.7777344,-0.56579299061422
3.78202728,-0.565306684104042
3.78632016,-0.564820377593818
3.79061304,-0.564334071083545
3.79490592,-0.563847764573222
3.7991988,-0.563361458062849
3.80349168,-0.562875151552425
3.80778456,-0.562388845041951
3.81207744,-0.561902538531425
3.81637032,-0.561416232020849
3.8206632,-0.560929925510222
3.82495608,-0.560443618999545
3.82924896,-0.559957312488815
3.83354184,-0.559471005978036
3.83783472,-0.558984699467207
3.8421276,-0.558498392956327
3.84642048,-0.558012086445397
3.85071336,-0.557525779934422
3.85500624,-0.557039473423403
3.85929912,-0.556553166912339
3.863592,-0.556066860401233
3.86788488,-0.55558055389008
3.87217776,-0.555094247378878
3.87647064,-0.554607940867646
3.88076352,-0.554121634356391
3.8850564,-0.553635327845112
3.88934928,-0.553149021333799
3.89364216,-0.552662714822537
3.89793504,-0.552176408311333
3.90222792,-0.551690101800188
3.9065208,-0.551203795289098
3.91081368,-0.550717488778067
3.91510656,-0.550231182267095
3.91939944,-0.549744875756183
3.92369232,-0.54925856924533
3.9279852,-0.548772262734538
3.93227808,-0.548285956223845
3.93657096,-0.547799649713282
3.94086384,-0.547313343202851
3.94515672,-0.546827036692563
3.9494496,-0.546340730182416
3.95374248,-0.545854423672405
3.95803536,-0.545368117162532
3.96232824,-0.544881810652795
3.96662112,-0.544395504143195
3.970914,-0.54390919763373
3.97520688,-0.543422891124393
3.97949976,-0.542936584615181
3.98379264,-0.542450278106063
3.98808552,-0.541963971597042
3.9923784,-0.54147766508812
3.99667128,-0.540991358579294
4.00096416,-0.540505052070543
4.00525704,-0.540018745561865
4.00954992,-0.539532439053259
4.0138428,-0.539046132544726
4.01813568,-0.538559826036264
4.02242856,-0.538073519527869
4.02672144,-0.537587213019533
4.03101432,-0.537100906511239
4.0353072,-0.536614600002891
4.03960008,-0.536128293494472
4.04389296,-0.535641986985974
4.04818584,-0.535155680477392
4.05247872,-0.534669373968729
4.0567716,-0.534183067459983
4.06106448,-0.533696760951156
4.06535736,-0.533210454442118
4.06965024,-0.532724147932783
4.07394312,-0.532237841423159
4.078236,-0.531751534913132
4.08252888,-0.531265228402672
4.08682176,-0.530778921891785
4.09111464,-0.530292615380502
4.09540752,-0.529806308868819
4.0997004,-0.529320002356817
4.10399328,-0.528833695844513
4.10828616,-0.528347389331932
4.11257904,-0.527861082819093
4.11687192,-0.52737477630599
4.1211648,-0.526888469792714
4.12545768,-0.526402163279317
4.12975056,-0.525915856765955
4.13404344,-0.525429550252685
4.13833632,-0.524943243739529
4.1426292,-0.524456937226502
4.14692208,-0.523970630713647
4.15121496,-0.523484324200919
4.15550784,-0.522998017688224
4.15980072,-0.522511711175489
4.1640936,-0.522025404662665
4.16838648,-0.521539098149741
4.17267936,-0.521052791636711
4.17697224,-0.52056648512355
4.18126512,-0.520080178610255
4.185558,-0.519593872096829
4.18985088,-0.519107565583265
4.19414376,-0.518621259069464
4.19843664,-0.518134952555503
4.20272952,-0.517648646041587
4.2070224,-0.517162339527795
4.21131528,-0.516676033014215
4.21560816,-0.516189726500696
4.21990104,-0.515703419987017
4.22419392,-0.515217113473163
4.2284868,-0.514730806959393
4.23277968,-0.514244500445765
4.23707256,-0.513758193932135
4.24136544,-0.513271887418384
4.24565832,-0.51278558090475
4.2499512,-0.51229927439153
4.25424408,-0.51181296787747
4.25853696,-0.511326661377472
4.26282984,-0.510840354899977
4.26712272,-0.510354048324711
4.2714156,-0.509867742081589
4.27570848,-0.509381435738491
4.28000136,-0.508895018107203
4.28429424,-0.508415890237226
4.28858712,-0.508082887213384
4.29288,-0.507998565952984
