"Distance [mm]","Voltage [mV]"
2.10571513,-750.506416219564
2.109935,-750.002322745215
2.11415487,-749.498229270866
2.11837474,-748.994135796517
2.12259461,-748.490042322166
2.12681448,-747.985948847814
2.13103435,-747.481855373462
2.13525422,-746.977761899109
2.13947409,-746.473668424755
2.14369396,-745.9695749504
2.14791383,-745.465481476045
2.1521337,-744.961388001689
2.15635357,-744.457294527332
2.16057344,-743.953201052974
2.16479331,-743.449107578611
2.16901318,-742.945014104248
2.17323305,-742.440920629886
2.17745292,-741.936827155524
2.18167279,-741.432733681161
2.18589266,-740.928640206798
2.19011253,-740.424546732436
2.1943324,-739.920453258074
2.19855227,-739.416359783711
2.20277214,-738.912266309348
2.20699201,-738.408172834986
2.21121188,-737.904079360624
2.21543175,-737.399985886262
2.21965162,-736.895892411899
2.22387149,-736.391798937541
2.22809136,-735.887705463184
2.23231123,-735.38361198883
2.2365311,-734.879518514478
2.24075097,-734.375425040128
2.24497084,-733.871331565781
2.24919071,-733.367238091435
2.25341058,-732.863144617092
2.25763045,-732.359051142751
2.26185032,-731.854957668412
2.26607019,-731.350864194075
2.27029006,-730.846770719741
2.27450993,-730.342677245408
2.2787298,-729.838583771078
2.28294967,-729.33449029675
2.28716954,-728.830396822424
2.29138941,-728.326303348101
2.29560928,-727.822209873779
2.29982915,-727.31811639946
2.30404902,-726.814022925145
2.30826889,-726.309929450833
2.31248876,-725.805835976524
2.31670863,-725.301742502217
2.3209285,-724.797649027914
2.32514837,-724.293555553612
2.32936824,-723.789462079313
2.33358811,-723.285368605018
2.33780798,-722.781275130725
2.34202785,-722.277181656434
2.34624772,-721.773088182146
2.35046759,-721.268994707861
2.35468746,-720.764901233579
2.35890733,-720.260807759299
2.3631272,-719.756714285022
2.36734707,-719.252620810748
2.37156694,-718.748527336477
2.37578681,-718.244433862213
2.38000668,-717.740340387958
2.38422655,-717.236246913707
2.38844642,-716.732153439459
2.39266629,-716.228059965216
2.39688616,-715.723966490977
2.40110603,-715.219873016742
2.4053259,-714.715779542511
2.40954577,-714.211686068284
2.41376564,-713.70759259406
2.41798551,-713.203499119842
2.42220538,-712.699405645627
2.42642525,-712.195312171416
2.43064512,-711.691218697209
2.43486499,-711.187125223006
2.43908486,-710.683031748807
2.44330473,-710.178938274613
2.4475246,-709.674844800422
2.45174447,-709.170751326235
2.45596434,-708.666657852056
2.46018421,-708.162564377883
2.46440408,-707.658470903713
2.46862395,-707.154377429547
2.47284382,-706.650283955382
2.47706369,-706.146190481222
2.48128356,-705.642097007064
2.48550343,-705.138003532909
2.4897233,-704.633910058758
2.49394317,-704.129816584609
2.49816304,-703.625723110463
2.50238291,-703.121629636321
2.50660278,-702.617536162181
2.51082265,-702.113442688045
2.51504252,-701.609349213911
2.51926239,-701.10525573978
2.52348226,-700.601162265653
2.52770213,-700.097068791528
2.531922,-699.592975317419
2.53614187,-699.088881843308
2.54036174,-698.584788369194
2.54458161,-698.080694895078
2.54880148,-697.576601420959
2.55302135,-697.072507946837
2.55724122,-696.568414472713
2.56146109,-696.064320998586
2.56568096,-695.560227524456
2.56990083,-695.056134050324
2.5741207,-694.55204057619
2.57834057,-694.047947102052
2.58256044,-693.543853627912
2.58678031,-693.03976015377
2.59100018,-692.535666679624
2.59522005,-692.031573205477
2.59943992,-691.527479731326
2.60365979,-691.023386257173
2.60787966,-690.519292783017
2.61209953,-690.015199308856
2.6163194,-689.51110583469
2.62053927,-689.00701236052
2.62475914,-688.502918886345
2.62897901,-687.998825412166
2.63319888,-687.494731937981
2.63741875,-686.990638463792
2.64163862,-686.486544989599
2.64585849,-685.9824515154
2.65007836,-685.478358041198
2.65429823,-684.974264566991
2.6585181,-684.47017109278
2.66273797,-683.966077618563
2.66695784,-683.461984144342
2.67117771,-682.957890670116
2.67539758,-682.453797195886
2.67961745,-681.949703721651
2.68383732,-681.445610247409
2.68805719,-680.941516773162
2.69227706,-680.437423298909
2.69649693,-679.933329824651
2.7007168,-679.429236350388
2.70493667,-678.925142876119
2.70915654,-678.421049401846
2.71337641,-677.916955927567
2.71759628,-677.412862453282
2.72181615,-676.908768978991
2.72603602,-676.404675504696
2.73025589,-675.900582030394
2.73447576,-675.396488556087
2.73869563,-674.892395081774
2.7429155,-674.388301607456
2.74713537,-673.884208133132
2.75135524,-673.380114658803
2.75557511,-672.876021184468
2.75979498,-672.371927710128
2.76401485,-671.867834235782
2.76823472,-671.36374076143
2.77245459,-670.859647287073
2.77667446,-670.355553812711
2.78089433,-669.851460338343
2.7851142,-669.347366863971
2.78933407,-668.843273389592
2.79355394,-668.339179915208
2.79777381,-667.835086440819
2.80199368,-667.330992966424
2.80621355,-666.826899492024
2.81043342,-666.322806017618
2.81465329,-665.818712543207
2.81887316,-665.314619068792
2.82309303,-664.810525594373
2.8273129,-664.306432119949
2.83153277,-663.80233864552
2.83575264,-663.298245171086
2.83997251,-662.794151696648
2.84419238,-662.290058222205
2.84841225,-661.785964747758
2.85263212,-661.281871273306
2.85685199,-660.777777798849
2.86107186,-660.273684324388
2.86529173,-659.769590849922
2.8695116,-659.265497375452
2.87373147,-658.761403900978
2.87795134,-658.2573104265
2.88217121,-657.753216952019
2.88639108,-657.249123477533
2.89061095,-656.745030003044
2.89483082,-656.24093652855
2.89905069,-655.736843054053
2.90327056,-655.232749579552
2.90749043,-654.728656105047
2.9117103,-654.224562630538
2.91593017,-653.720469156025
2.92015004,-653.216375681508
2.92436991,-652.712282206987
2.92858978,-652.208188732463
2.93280965,-651.704095257934
2.93702952,-651.200001783402
2.94124939,-650.695908308872
2.94546926,-650.191814834342
2.94968913,-649.68772135981
2.953909,-649.183627885276
2.95812887,-648.67953441074
2.96234874,-648.175440936202
2.96656861,-647.671347461662
2.97078848,-647.16725398712
2.97500835,-646.663160512576
2.97922822,-646.15906703803
2.98344809,-645.654973563482
2.98766796,-645.150880088932
2.99188783,-644.646786614381
2.9961077,-644.142693139827
3.00032757,-643.638599665271
3.00454744,-643.134506190715
3.00876731,-642.630412716157
3.01298718,-642.126319241598
3.01720705,-641.622225767036
3.02142692,-641.118132292472
3.02564679,-640.614038817907
3.02986666,-640.109945343339
3.03408653,-639.605851868769
3.0383064,-639.101758394196
3.04252627,-638.597664919621
3.04674614,-638.093571445044
3.05096601,-637.589477970464
3.05518588,-637.085384495883
3.05940575,-636.581291021299
3.06362562,-636.077197546713
3.06784549,-635.573104072125
3.07206536,-635.069010597535
3.07628523,-634.564917122942
3.0805051,-634.060823648348
3.08472497,-633.556730173752
3.08894484,-633.052636699153
3.09316471,-632.548543224552
3.09738458,-632.044449749949
3.10160445,-631.540356275344
3.10582432,-631.036262800736
3.11004419,-630.532169326126
3.11426406,-630.028075851514
3.11848393,-629.5239823769
3.1227038,-629.019888902283
3.12692367,-628.515795427664
3.13114354,-628.011701953043
3.13536341,-627.50760847842
3.13958328,-627.003515003795
3.14380315,-626.499421529166
3.14802302,-625.995328054534
3.15224289,-625.4912345799
3.15646276,-624.987141105262
3.16068263,-624.483047630622
3.1649025,-623.978954155977
3.16912237,-623.474860681331
3.17334224,-622.970767206676
3.17756211,-622.46667373201
3.18178198,-621.962580257336
3.18600185,-621.458486782652
3.19022172,-620.95439330796
3.19444159,-620.450299833259
3.19866146,-619.94620635855
3.20288133,-619.442112883832
3.2071012,-618.938019409105
3.21132107,-618.43392593437
3.21554094,-617.929832459628
3.21976081,-617.425738984877
3.22398068,-616.921645510118
3.22820055,-616.417552035358
3.23242042,-615.913458560605
3.23664029,-615.409365085853
3.24086016,-614.905271611104
3.24508003,-614.401178136357
3.2492999,-613.897084661613
3.25351977,-613.392991186871
3.25773964,-612.888897712133
3.26195951,-612.384804237396
3.26617938,-611.880710762662
3.27039925,-611.376617287931
3.27461912,-610.872523813203
3.27883899,-610.368430338477
3.28305886,-609.864336863754
3.28727873,-609.360243389033
3.2914986,-608.856149914313
3.29571847,-608.352056439593
3.29993834,-607.847962964873
3.30415821,-607.343869490154
3.30837808,-606.839776015435
3.31259795,-606.335682540717
3.31681782,-605.831589065999
3.32103769,-605.327495591282
3.32525756,-604.823402116565
3.32947743,-604.319308641848
3.3336973,-603.815215167128
3.33791717,-603.311121692407
3.34213704,-602.807028217684
3.34635691,-602.30293474296
3.35057678,-601.798841268233
3.35479665,-601.294747793505
3.35901652,-600.790654318776
3.36323639,-600.286560844046
3.36745626,-599.782467369314
3.37167613,-599.278373894581
3.375896,-598.774280419847
3.38011587,-598.270186945114
3.38433574,-597.766093470385
3.38855561,-597.261999995657
3.39277548,-596.757906520932
3.39699535,-596.253813046209
3.40121522,-595.749719571491
3.40543509,-595.245626096777
3.40965496,-594.741532622067
3.41387483,-594.237439147361
3.4180947,-593.733345672657
3.42231457,-593.229252197958
3.42653444,-592.725158723261
3.43075431,-592.221065248569
3.43497418,-591.716971773879
3.43919405,-591.212878299192
3.44341392,-590.708784824508
3.44763379,-590.204691349817
3.45185366,-589.700597875124
3.45607353,-589.196504400429
3.4602934,-588.692410925732
3.46451327,-588.188317451032
3.46873314,-587.684223976331
3.47295301,-587.180130501629
3.47717288,-586.676037026924
3.48139275,-586.171943552218
3.48561262,-585.66785007751
3.48983249,-585.163756602802
3.49405236,-584.659663128094
3.49827223,-584.155569653383
3.5024921,-583.651476178668
3.50671197,-583.147382703951
3.51093184,-582.643289229229
3.51515171,-582.139195754503
3.51937158,-581.635102279773
3.52359145,-581.13100880504
3.52781132,-580.626915330302
3.53203119,-580.12282185556
3.53625106,-579.618728380814
3.54047093,-579.114634906064
3.5446908,-578.61054143131
3.54891067,-578.10644795655
3.55313054,-577.602354481786
3.55735041,-577.098261007021
3.56157028,-576.594167532255
3.56579015,-576.090074057488
3.57001002,-575.585980582719
3.57422989,-575.08188710795
3.57844976,-574.57779363318
3.58266963,-574.073700158409
3.5868895,-573.569606683638
3.59110937,-573.065513208866
3.59532924,-572.561419734093
3.59954911,-572.057326259321
3.60376898,-571.55323278455
3.60798885,-571.04913930978
3.61220872,-570.545045835013
3.61642859,-570.040952360246
3.62064846,-569.536858885482
3.62486833,-569.03276541072
3.6290882,-568.52867193596
3.63330807,-568.024578461201
3.63752794,-567.520484986446
3.64174781,-567.016391511692
3.64596768,-566.512298036942
3.65018755,-566.008204562195
3.65440742,-565.50411108745
3.65862729,-565.000017612708
3.66284716,-564.495924137973
3.66706703,-563.991830663243
3.6712869,-563.487737188516
3.67550677,-562.98364371379
3.67972664,-562.479550239067
3.68394651,-561.975456764346
3.68816638,-561.471363289627
3.69238625,-560.967269814909
3.69660612,-560.463176340193
3.70082599,-559.959082865477
3.70504586,-559.454989390762
3.70926573,-558.950895916048
3.7134856,-558.446802441335
3.71770547,-557.942708966621
3.72192534,-557.438615491908
3.72614521,-556.934522017197
3.73036508,-556.430428542487
3.73458495,-555.926335067778
3.73880482,-555.422241593071
3.74302469,-554.918148118365
3.74724456,-554.414054643662
3.75146443,-553.90996116896
3.7556843,-553.40586769426
3.75990417,-552.901774219561
3.76412404,-552.397680744865
3.76834391,-551.89358727017
3.77256378,-551.389493795476
3.77678365,-550.885400320784
3.78100352,-550.381306846093
3.78522339,-549.877213371404
3.78944326,-549.373119896716
3.79366313,-548.86902642203
3.797883,-548.364932947344
3.80210287,-547.86083947266
3.80632274,-547.356745997977
3.81054261,-546.852652523297
3.81476248,-546.348559048618
3.81898235,-545.84446557394
3.82320222,-545.340372099265
3.82742209,-544.836278624594
3.83164196,-544.332185149928
3.83586183,-543.828091675266
3.8400817,-543.323998200609
3.84430157,-542.819904725957
3.84852144,-542.31581125131
3.85274131,-541.811717776667
3.85696118,-541.307624302029
3.86118105,-540.803530827395
3.86540092,-540.299437352764
3.86962079,-539.795343878135
3.87384066,-539.291250403508
3.87806053,-538.787156928884
3.8822804,-538.283063454262
3.88650027,-537.778969979642
3.89072014,-537.274876505023
3.89494001,-536.770783030404
3.89915988,-536.266689555787
3.90337975,-535.762596081168
3.90759962,-535.258502606548
3.91181949,-534.754409131927
3.91603936,-534.250315657304
3.92025923,-533.746222182674
3.9244791,-533.242128708055
3.92869897,-532.738035233473
3.93291884,-532.233941758932
3.93713871,-531.729848284454
3.94135858,-531.225754810185
3.94557845,-530.721661335806
3.94979832,-530.217567861657
3.95401819,-529.71347438656
3.95823806,-529.20938091044
3.96245793,-528.705287432885
3.9666778,-528.201193947128
3.97089767,-527.697100469375
3.97511754,-527.19300700062
3.97933741,-526.688913544596
3.98355728,-526.184820087824
3.98777715,-525.680726623254
3.99199702,-525.176633174741
3.99621689,-524.672539701555
4.00043676,-524.168446142416
4.00465663,-523.664352538729
4.0088765,-523.160258907174
4.01309637,-522.656164894842
4.01731624,-522.152071862619
4.02153611,-521.647980408372
4.02575598,-521.143889125832
4.02997585,-520.639802712051
4.03419572,-520.135721798977
4.03841559,-519.63162464537
4.04263546,-519.127512161459
4.04685533,-518.623407444942
4.0510752,-518.119305810822
4.05529507,-517.615618408607
4.05951494,-517.111844445714
4.06373481,-516.607948175362
4.06795468,-516.103355510739
4.07217455,-515.597962765424
4.07639442,-515.09266286155
4.08061429,-514.59618076921
4.08483416,-514.169732951882
4.08905403,-514.032713633581
4.0932739,-513.917694752754
4.09749377,-513.829987759654
4.10171364,-513.767128993267
4.10593351,-513.713607092585
4.11015338,-513.672788279868
4.11437325,-513.644965849181
4.11859312,-513.620992685826
4.12281299,-513.597800508724
4.12703286,-513.576535249471
4.13125273,-513.557016813349
4.1354726,-513.539522254832
4.13969247,-513.524080350936
4.14391234,-513.509756565688
4.14813221,-513.49664097134
4.15235208,-513.48485732084
4.15657195,-513.474251386251
4.16079182,-513.464790091037
4.16501169,-513.456188599808
4.16923156,-513.448391694753
4.17345143,-513.441377197673
4.1776713,-513.4351547387
4.18189117,-513.429683053571
4.18611104,-513.424824163969
4.19033091,-513.420564175411
4.19455078,-513.41688296651
4.19877065,-513.413842368002
4.20299052,-513.41140076911
4.20721039,-513.409469340719
4.21143026,-513.408072783369
4.21565013,-513.407224768956
4.21987,-513.406915681988
